record_id,date_time,city_zone,station_type,vehicles_charged,avg_charging_duration_minutes,energy_dispensed_kwh,grid_load_mw,renewable_energy_used_percent,peak_load_risk,hour,day_name,month,date,is_weekend,energy_per_vehicle,veh_z,energy_z,demand_score
1,2024-01-01 00:00:00,Central,Supercharger,9,101.6,238.64,179.28,59.1,Medium,0,Monday,January,2024-01-01,0,26.515555555555554,-0.5027842423087028,0.6042746750706164,-0.05996067535697508
2,2024-01-01 01:00:00,South,Fast,15,23.5,129.5,198.56,73.6,Low,1,Monday,January,2024-01-01,0,8.633333333333333,0.36230949701802884,-0.49834381950007844,0.018048170410785908
3,2024-01-01 02:00:00,West,Normal,3,104.7,65.67,134.21,63.7,Low,2,Monday,January,2024-01-01,0,21.89,-1.3678779816354343,-1.1432049016738686,-1.278008749650808
4,2024-01-01 03:00:00,West,Fast,22,108.6,303.83,76.49,17.0,Medium,3,Monday,January,2024-01-01,0,13.810454545454546,1.371585526232549,1.262875551569275,1.3281015363672393
5,2024-01-01 04:00:00,Central,Fast,21,78.6,156.32,256.73,17.9,Low,4,Monday,January,2024-01-01,0,7.443809523809524,1.2274032363447605,-0.22738699318171643,0.6454871445341697
6,2024-01-01 05:00:00,South,Normal,11,48.0,340.22,434.02,7.6,High,5,Monday,January,2024-01-01,0,30.929090909090913,-0.21441966253312553,1.6305160776589545,0.5235546335437065
7,2024-01-01 06:00:00,North,Supercharger,22,79.8,260.61,205.14,52.0,Medium,6,Monday,January,2024-01-01,0,11.84590909090909,1.371585526232549,0.826232970156911,1.1534445038022936
8,2024-01-01 07:00:00,South,Normal,9,90.1,126.35,154.79,28.6,Low,7,Monday,January,2024-01-01,0,14.038888888888888,-0.5027842423087028,-0.5301676078260606,-0.5137375885156459
9,2024-01-01 08:00:00,East,Fast,11,29.9,170.07,366.73,40.6,Medium,8,Monday,January,2024-01-01,0,15.460909090909091,-0.21441966253312553,-0.08847363144131826,-0.16404125009640264
10,2024-01-01 09:00:00,East,Normal,8,23.4,196.58,288.84,65.0,High,9,Monday,January,2024-01-01,0,24.5725,-0.6469665321964914,0.17935132999416958,-0.316439387320227
11,2024-01-01 10:00:00,North,Fast,20,57.5,210.02,265.12,42.1,Low,10,Monday,January,2024-01-01,0,10.501000000000001,1.0832209464569718,0.3151328268516933,0.7759856986148604
12,2024-01-01 11:00:00,Central,Supercharger,24,74.6,285.0,371.73,23.9,Medium,11,Monday,January,2024-01-01,0,11.875,1.659950106008126,1.0726400169095154,1.425026070368682
13,2024-01-01 12:00:00,North,Fast,4,114.9,39.8,264.32,20.1,High,12,Monday,January,2024-01-01,0,9.95,-1.2236956917476458,-1.4045640775447124,-1.2960430460664725
14,2024-01-01 13:00:00,Central,Normal,16,104.0,324.84,444.48,72.8,High,13,Monday,January,2024-01-01,0,20.3025,0.5064917869058174,1.4751351683086031,0.8939491394669317
15,2024-01-01 14:00:00,North,Fast,19,86.1,34.96,488.5,62.5,Medium,14,Monday,January,2024-01-01,0,1.84,0.9390386565691832,-1.4534615808773323,-0.017961438409423103
16,2024-01-01 15:00:00,West,Fast,11,104.5,272.49,413.27,29.2,High,15,Monday,January,2024-01-01,0,24.771818181818183,-0.21441966253312553,0.9462541147006149,0.24984984836037066
17,2024-01-01 16:00:00,East,Normal,7,54.3,292.97,77.52,82.6,Medium,16,Monday,January,2024-01-01,0,41.85285714285715,-0.79114882208428,1.1531592527692227,-0.013425592142878862
18,2024-01-01 17:00:00,West,Fast,11,109.6,55.61,372.22,42.8,Medium,17,Monday,January,2024-01-01,0,5.055454545454546,-0.21441966253312553,-1.2448389685181163,-0.6265873849271218
19,2024-01-01 18:00:00,Central,Normal,5,96.5,320.74,272.22,55.7,Low,18,Monday,January,2024-01-01,0,64.148,-1.0795134018598571,1.433713729535103,-0.07422254930187311
20,2024-01-01 19:00:00,Central,Supercharger,4,49.2,257.19,241.4,76.5,High,19,Monday,January,2024-01-01,0,64.2975,-1.2236956917476458,0.7916814285458446,-0.4175448436302497
21,2024-01-01 20:00:00,North,Normal,6,79.4,182.37,485.83,12.2,High,20,Monday,January,2024-01-01,0,30.395,-0.9353311119720685,0.03579068487918348,-0.5468823932315677
22,2024-01-01 21:00:00,North,Normal,8,56.1,234.82,468.53,19.1,Medium,21,Monday,January,2024-01-01,0,29.3525,-0.6469665321964914,0.5656820174816476,-0.16190711232523575
23,2024-01-01 22:00:00,North,Supercharger,6,51.0,94.14,115.48,57.4,Low,22,Monday,January,2024-01-01,0,15.69,-0.9353311119720685,-0.8555784719466587,-0.9034300559619046
24,2024-01-01 23:00:00,West,Normal,9,114.4,212.49,217.79,65.6,Low,23,Monday,January,2024-01-01,0,23.61,-0.5027842423087028,0.34008671801524115,-0.16563585817912518
25,2024-01-02 00:00:00,North,Fast,17,93.9,190.52,77.48,82.0,Medium,0,Tuesday,January,2024-01-02,0,11.207058823529412,0.650674076793606,0.1181284229289468,0.43765581524774233
26,2024-01-02 01:00:00,East,Supercharger,11,74.0,271.92,330.49,26.1,Low,1,Tuesday,January,2024-01-02,0,24.720000000000002,-0.21441966253312553,0.9404955244321039,0.24754641225296625
27,2024-01-02 02:00:00,North,Fast,17,110.6,176.08,107.39,21.9,Low,2,Tuesday,January,2024-01-02,0,10.357647058823531,0.650674076793606,-0.027755863873333123,0.37930210052683033
28,2024-01-02 03:00:00,South,Supercharger,22,111.7,65.09,482.88,82.1,High,3,Tuesday,January,2024-01-02,0,2.958636363636364,1.371585526232549,-1.1490645198418272,0.3633255078027984
29,2024-01-02 04:00:00,Central,Normal,19,26.2,234.56,258.79,38.8,Low,4,Tuesday,January,2024-01-02,0,12.345263157894736,0.9390386565691832,0.5630552920960111,0.7886453107799143
30,2024-01-02 05:00:00,South,Normal,10,25.7,244.9,139.5,13.5,High,5,Tuesday,January,2024-01-02,0,24.490000000000002,-0.35860195242091414,0.6675181401247905,0.051846084597367725
31,2024-01-02 06:00:00,West,Fast,7,116.0,122.92,343.49,54.9,Low,6,Tuesday,January,2024-01-02,0,17.56,-0.79114882208428,-0.5648201773365744,-0.7006173641851977
32,2024-01-02 07:00:00,West,Normal,14,34.1,153.52,303.78,16.1,Low,7,Tuesday,January,2024-01-02,0,10.965714285714286,0.21812720713024025,-0.2556748050270337,0.028606402267330647
33,2024-01-02 08:00:00,North,Supercharger,21,49.8,63.97,492.26,45.2,Medium,8,Tuesday,January,2024-01-02,0,3.046190476190476,1.2274032363447605,-1.1603796445799541,0.27229008397487464
34,2024-01-02 09:00:00,West,Fast,1,72.0,346.38,342.73,21.7,High,9,Tuesday,January,2024-01-02,0,346.38,-1.6562425614110114,1.6927492637186525,-0.3166458313591458
35,2024-01-02 10:00:00,North,Fast,12,42.1,17.66,319.09,33.2,Low,10,Tuesday,January,2024-01-02,0,1.4716666666666667,-0.07023737264533694,-1.6282398469216153,-0.6934383623558483
36,2024-01-02 11:00:00,South,Fast,2,118.1,148.81,209.73,75.1,Low,11,Tuesday,January,2024-01-02,0,74.405,-1.512060271523223,-0.3032589456668356,-1.028539741180668
37,2024-01-02 12:00:00,North,Fast,8,65.4,237.67,262.75,21.4,Low,12,Tuesday,January,2024-01-02,0,29.70875,-0.6469665321964914,0.5944749688242028,-0.15038993178821367
38,2024-01-02 13:00:00,North,Normal,2,80.2,235.0,97.01,41.4,High,13,Tuesday,January,2024-01-02,0,117.5,-1.512060271523223,0.5675005196717038,-0.6802359550452521
39,2024-01-02 14:00:00,Central,Normal,21,107.5,196.69,137.86,55.8,Low,14,Tuesday,January,2024-01-02,0,9.366190476190477,1.2274032363447605,0.1804626368880926,0.8086269965620934
40,2024-01-02 15:00:00,Central,Normal,17,58.3,215.23,337.59,60.2,Low,15,Tuesday,January,2024-01-02,0,12.660588235294117,0.650674076793606,0.367768362463873,0.5375117910617128
41,2024-01-02 16:00:00,Central,Normal,19,98.6,247.32,121.65,78.2,Low,16,Tuesday,January,2024-01-02,0,13.016842105263157,0.9390386565691832,0.6919668917911005,0.8402099506579501
42,2024-01-02 17:00:00,East,Fast,3,118.5,238.6,460.81,13.2,Low,17,Tuesday,January,2024-01-02,0,79.53333333333333,-1.3678779816354343,0.6038705634728262,-0.57917856359213
43,2024-01-02 18:00:00,South,Normal,20,96.1,157.99,206.81,30.1,Low,18,Tuesday,January,2024-01-02,0,7.899500000000001,1.0832209464569718,-0.21051533397397335,0.5657264342845938
44,2024-01-02 19:00:00,West,Supercharger,16,75.5,206.79,482.42,48.6,Medium,19,Tuesday,January,2024-01-02,0,12.924375,0.5064917869058174,0.2825008153301305,0.4168953982755426
45,2024-01-02 20:00:00,North,Normal,4,95.4,335.24,115.37,16.2,Medium,20,Tuesday,January,2024-01-02,0,83.81,-1.2236956917476458,1.5802041837340683,-0.10213574155496008
46,2024-01-02 21:00:00,Central,Normal,21,18.6,317.05,304.79,41.9,Medium,21,Tuesday,January,2024-01-02,0,15.097619047619048,1.2274032363447605,1.3964344346389526,1.2950157156624373
47,2024-01-02 22:00:00,North,Supercharger,1,114.0,43.41,133.16,9.4,Medium,22,Tuesday,January,2024-01-02,0,43.41,-1.6562425614110114,-1.3680930058441423,-1.5409827391842637
48,2024-01-02 23:00:00,Central,Fast,18,83.6,143.64,114.54,29.5,Low,23,Tuesday,January,2024-01-02,0,7.9799999999999995,0.7948563666813946,-0.3554903696812255,0.3347176721363465
49,2024-01-03 00:00:00,West,Fast,6,21.6,162.09,125.33,53.8,Medium,0,Wednesday,January,2024-01-03,0,27.015,-0.9353311119720685,-0.16909389520047285,-0.6288362252634302
50,2024-01-03 01:00:00,South,Fast,11,61.7,70.53,188.78,35.6,Low,1,Wednesday,January,2024-01-03,0,6.411818181818182,-0.21441966253312553,-1.0941053425423533,-0.5662939345368166
51,2024-01-03 02:00:00,West,Fast,6,77.6,290.1,409.14,64.0,High,2,Wednesday,January,2024-01-03,0,48.35,-0.9353311119720685,1.1241642456277723,-0.11153296893213216
52,2024-01-03 03:00:00,West,Normal,12,41.0,49.06,437.52,64.0,Low,3,Wednesday,January,2024-01-03,0,4.088333333333334,-0.07023737264533694,-1.3110122426562696,-0.56654732064971
53,2024-01-03 04:00:00,West,Supercharger,2,29.6,56.75,185.5,74.8,Medium,4,Wednesday,January,2024-01-03,0,28.375,-1.512060271523223,-1.233321787981094,-1.4005648781063713
54,2024-01-03 05:00:00,South,Supercharger,23,86.0,212.58,74.75,80.2,High,5,Wednesday,January,2024-01-03,0,9.242608695652175,1.5157678161203376,0.34099596911026925,1.0458590773163101
55,2024-01-03 06:00:00,West,Fast,20,116.2,121.7,399.22,31.4,High,6,Wednesday,January,2024-01-03,0,6.085,1.0832209464569718,-0.577145581069177,0.4190743354465123
56,2024-01-03 07:00:00,West,Normal,9,65.1,42.45,318.24,65.4,Low,7,Wednesday,January,2024-01-03,0,4.716666666666667,-0.5027842423087028,-1.377791684191108,-0.8527872190616649
57,2024-01-03 08:00:00,Central,Fast,9,89.9,247.55,176.81,9.9,Low,8,Wednesday,January,2024-01-03,0,27.505555555555556,-0.5027842423087028,0.6942905334783946,-0.023954331993863764
58,2024-01-03 09:00:00,West,Normal,7,40.6,306.63,229.59,46.0,Medium,9,Wednesday,January,2024-01-03,0,43.80428571428571,-0.79114882208428,1.2911633634145925,0.041776052115269025
59,2024-01-03 10:00:00,South,Normal,15,102.9,99.48,260.58,71.1,High,10,Wednesday,January,2024-01-03,0,6.632000000000001,0.36230949701802884,-0.8016295736416604,-0.10326613124584691
60,2024-01-03 11:00:00,West,Supercharger,17,119.0,329.2,326.08,55.6,Medium,11,Wednesday,January,2024-01-03,0,19.36470588235294,0.650674076793606,1.5191833324677406,0.9980777790632598
